property,product_id,value
light_count,216741,1
light_count,216743,14
light_count,216744,1
light_count,216745,1
light_count,216746,61
light_count,216913,1
light_count,216914,1
light_count,216915,1
light_count,216916,1
light_count,216920,1
light_count,216926,1
light_count,216930,1
light_count,216950,16
light_count,216951,8
light_count,216952,16
light_count,217009,1
light_count,217010,24
light_count,217011,12
light_count,217013,1
light_count,217014,16
light_count,217015,8
light_count,217016,1
light_count,217072,1
light_count,217073,1
light_count,217075,1
light_count,217103,1
light_count,217174,1
light_count,217175,1
light_count,217203,1
light_count,217204,1
light_count,217205,1
light_count,217206,1
light_count,217207,1
light_count,217209,5
light_count,217210,1
light_count,217213,1
light_count,217214,1
light_count,217215,1
light_count,217216,1
light_count,217218,1
light_count,217219,1
light_count,217220,1
light_count,217221,1
light_count,217222,1
light_count,217223,14
light_count,217224,1
light_count,217225,1
light_count,217229,1
light_count,217230,1
light_count,217231,1
light_count,217232,1
light_count,217233,1
light_count,217234,1
light_count,217235,1
light_count,217237,1
light_count,217239,1
light_count,217240,1
light_count,217241,1
light_count,217243,1
light_count,217244,1
light_count,217246,1
light_count,217248,1
light_count,217249,1
light_count,217251,1
light_count,217253,1
light_count,217254,1
light_count,217255,1
light_count,217256,1
light_count,217258,1
light_count,217259,1
light_count,217260,1
light_count,217261,1
light_count,217263,1
light_count,217282,64
light_count,217285,2
light_count,217286,1
light_count,217287,18
light_count,217288,1
light_count,217290,5
light_count,217291,1
light_count,217293,2
light_count,217294,3
light_count,217295,1
light_count,217319,1
light_count,217642,1
light_count,217643,1
light_count,217644,1
light_count,217649,1
light_count,217650,1
light_count,217651,1
light_count,217652,1
light_count,217654,1
light_count,217655,1
light_count,217656,1
light_count,217668,12
light_count,217768,10
light_count,217770,336
light_count,217771,12
light_count,217786,14
light_count,217787,14
light_count,217788,1
light_count,217789,1
light_count,217791,7
light_count,217842,1
light_count,217846,54
light_count,217847,16
light_count,217852,1
light_count,217879,7
light_count,217880,7
light_count,217881,7
light_count,217882,19
light_count,217883,19
light_count,217884,19
light_count,217885,37
light_count,217886,37
light_count,217887,37
light_count,217888,61
light_count,217889,61
light_count,217890,61
light_count,217891,91
light_count,217892,91
light_count,217893,91
light_count,217926,1
light_count,217927,1
light_count,217928,6
light_count,217935,9
light_count,217936,9
light_count,217937,9
light_count,217938,1
light_count,217939,1
light_count,217940,1
light_count,217941,18
light_count,217942,1
light_count,217943,27
light_count,217944,1
light_count,217945,1
light_count,217946,36
light_count,217947,1
light_count,217948,1
light_count,217949,1
light_count,217950,1
light_count,217951,1
light_count,217952,1
light_count,217953,1
light_count,217954,1
light_count,217955,1
light_count,217956,1
light_count,217957,1
light_count,217958,1
light_count,217959,1
light_count,217960,1
light_count,217961,1
light_count,217962,1
light_count,217963,1
light_count,217964,1
light_count,217965,1
light_count,217994,1
light_count,217995,1
light_count,218029,1
light_count,218030,1
light_count,218031,1
light_count,218047,1
light_count,218048,1
light_count,218067,1
light_count,218068,37
light_count,218069,37
light_count,218070,1
light_count,218071,37
light_count,218072,1
light_count,218073,1
light_count,218074,1
light_count,218075,1
light_count,218076,1
light_count,218077,7
light_count,218078,1
light_count,218079,7
light_count,218080,1
light_count,218081,1
light_count,218082,1
light_count,218083,1
light_count,218084,1
light_count,218085,1
light_count,218086,10
light_count,218087,37
light_count,218088,19
light_count,218089,37
light_count,218090,19
light_count,218091,1
light_count,218092,1
